dauer;INDEX_RC;HN_001A;HN_002A;HN_003A;HN_005A;HN_010A;HN_020A;HN_030A;HN_050A;HN_100A;RN_001A;RN_002A;RN_003A;RN_005A;RN_010A;RN_020A;RN_030A;RN_050A;RN_100A;UC_001A;UC_002A;UC_003A;UC_005A;UC_010A;UC_020A;UC_030A;UC_050A;UC_100A
00005;118111;6,9;8,6;9,7;11,1;13,1;15,2;16,5;18,3;20,9;230,0;286,7;323,3;370,0;436,7;506,7;550,0;610,0;696,7;9;10;11;12;13;14;14;15;15
00010;118111;8,8;11,0;12,4;14,2;16,8;19,5;21,2;23,5;26,8;146,7;183,3;206,7;236,7;280,0;325,0;353,3;391,7;446,7;12;14;15;16;17;18;19;19;20
00015;118111;10,0;12,5;14,1;16,1;19,1;22,1;24,1;26,7;30,5;111,1;138,9;156,7;178,9;212,2;245,6;267,8;296,7;338,9;14;16;17;18;19;20;21;21;22
00020;118111;10,9;13,6;15,3;17,6;20,8;24,1;26,3;29,1;33,2;90,8;113,3;127,5;146,7;173,3;200,8;219,2;242,5;276,7;15;17;18;19;20;21;22;22;23
00030;118111;12,2;15,3;17,2;19,7;23,3;27,0;29,5;32,7;37,3;67,8;85,0;95,6;109,4;129,4;150,0;163,9;181,7;207,2;15;17;18;20;21;22;22;23;23
00045;118111;13,7;17,1;19,2;22,0;26,1;30,2;32,9;36,5;41,6;50,7;63,3;71,1;81,5;96,7;111,9;121,9;135,2;154,1;15;17;19;20;21;22;22;23;24
00060;118111;14,7;18,5;20,8;23,8;28,1;32,6;35,6;39,4;45,0;40,8;51,4;57,8;66,1;78,1;90,6;98,9;109,4;125,0;15;17;18;19;21;22;22;23;23
00090;118111;16,4;20,5;23,1;26,5;31,3;36,3;39,6;43,9;50,0;30,4;38,0;42,8;49,1;58,0;67,2;73,3;81,3;92,6;14;17;18;19;20;21;22;22;23
00120;118111;17,7;22,1;24,9;28,5;33,7;39,1;42,6;47,2;53,9;24,6;30,7;34,6;39,6;46,8;54,3;59,2;65,6;74,9;14;16;17;18;20;20;21;22;22
00180;118111;19,6;24,5;27,6;31,6;37,4;43,4;47,3;52,4;59,8;18,1;22,7;25,6;29,3;34,6;40,2;43,8;48,5;55,4;13;15;16;17;19;20;20;21;21
00240;118111;21,1;26,4;29,7;34,0;40,3;46,7;50,9;56,4;64,3;14,7;18,3;20,6;23,6;28,0;32,4;35,3;39,2;44,7;12;14;15;17;18;19;19;20;20
00360;118111;23,4;29,3;32,9;37,7;44,6;51,7;56,4;62,5;71,3;10,8;13,6;15,2;17,5;20,6;23,9;26,1;28,9;33,0;11;13;14;15;17;18;18;19;19
00540;118111;25,9;32,4;36,5;41,8;49,4;57,3;62,5;69,2;78,9;8,0;10,0;11,3;12,9;15,2;17,7;19,3;21,4;24,4;10;12;13;14;16;17;17;18;18
00720;118111;27,8;34,9;39,2;44,9;53,1;61,6;67,2;74,4;84,9;6,4;8,1;9,1;10,4;12,3;14,3;15,6;17,2;19,7;10;12;13;14;15;16;16;17;18
01080;118111;30,8;38,6;43,4;49,7;58,8;68,2;74,4;82,4;94,0;4,8;6,0;6,7;7,7;9,1;10,5;11,5;12,7;14,5;9;11;12;13;14;15;15;16;17
01440;118111;33,1;41,5;46,7;53,5;63,2;73,3;80,0;88,6;101,0;3,8;4,8;5,4;6,2;7,3;8,5;9,3;10,3;11,7;9;11;11;12;13;14;15;15;16
02880;118111;39,4;49,4;55,5;63,6;75,3;87,3;95,1;105,4;120,2;2,3;2,9;3,2;3,7;4,4;5,1;5,5;6,1;7,0;9;10;11;11;12;13;14;14;15
04320;118111;43,7;54,7;61,5;70,4;83,3;96,6;105,3;116,7;133,1;1,7;2,1;2,4;2,7;3,2;3,7;4,1;4,5;5,1;9;10;10;11;12;13;13;13;14
05760;118111;46,9;58,7;66,1;75,7;89,5;103,8;113,2;125,4;143,0;1,4;1,7;1,9;2,2;2,6;3,0;3,3;3,6;4,1;10;10;10;11;12;12;13;13;14
07200;118111;49,6;62,1;69,9;80,0;94,7;109,8;119,7;132,7;151,2;1,1;1,4;1,6;1,9;2,2;2,5;2,8;3,1;3,5;10;10;11;11;12;12;12;13;13
08640;118111;51,9;65,0;73,1;83,8;99,1;114,9;125,3;138,8;158,3;1,0;1,3;1,4;1,6;1,9;2,2;2,4;2,7;3,1;11;11;11;11;12;12;12;13;13
10080;118111;54,0;67,6;76,0;87,1;103,0;119,5;130,2;144,3;164,5;0,9;1,1;1,3;1,4;1,7;2,0;2,2;2,4;2,7;11;11;11;11;12;12;12;13;13
